# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	25120
#@/user_id	rime
a 	啊	c=122 d=2.11641 t=25120
gun dong 	滾動	c=1 d=8.42203e-10 t=25120
guo 	國	c=3 d=0.000104891 t=25120
guo 	果	c=8 d=1.55963e-05 t=25120
guo 	過	c=47 d=1.02101 t=25120
guo 	鍋	c=4 d=2.31873e-12 t=25120
guo chan 	國產	c=5 d=1.25382e-14 t=25120
guo cheng 	過程	c=1 d=3.39238e-18 t=25120
guo du 	國度	c=3 d=5.38089e-40 t=25120
guo duan 	果斷	c=12 d=0.479505 t=25120
guo duo 	過多	c=2 d=8.27522e-09 t=25120
guo fen 	果粉	c=1 d=3.04377e-07 t=25120
guo fen 	過份	c=2 d=2.89152e-11 t=25120
guo fu 	國服	c=1 d=8.14898e-34 t=25120
guo hou 	過後	c=1 d=9.25791e-35 t=25120
guo ji 	國際	c=8 d=0.0469796 t=25120
guo ji ban 	國際版	c=3 d=3.98032e-16 t=25120
guo ji ri 	國際日	c=1 d=1.64469e-30 t=25120
guo ji tian 	過幾天	c=2 d=9.68764e-10 t=25120
guo ji xiao hua 	國際笑話	c=1 d=7.77029e-33 t=25120
guo jia 	國家	c=4 d=6.50731e-05 t=25120
guo jia 	郭嘉	c=1 d=2.07325e-19 t=25120
guo jia dui 	國家隊	c=2 d=1.30212e-46 t=25120
guo jia jiang xue jin 	國家獎學金	c=1 d=3.81685e-52 t=25120
guo jie 	過節	c=1 d=7.19635e-42 t=25120
guo ke 	果殼	c=1 d=9.44684e-08 t=25120
guo lai 	過來	c=9 d=0.343213 t=25120
guo le 	過了	c=2 d=0.0614212 t=25120
guo liang nian 	過兩年	c=1 d=2.45143e-49 t=25120
guo lv 	過濾	c=1 d=9.22458e-22 t=25120
guo men 	國門	c=1 d=2.39016e-16 t=25120
guo mi 	國米	c=1 d=2.67636e-23 t=25120
guo nei 	國內	c=9 d=0.980199 t=25120
guo qi 	國企	c=4 d=3.85913e-16 t=25120
guo qing 	國慶	c=3 d=5.02592e-41 t=25120
guo qu 	過去	c=10 d=0.0253535 t=25120
guo ran 	果然	c=26 d=0.431535 t=25120
guo wai 	國外	c=7 d=4.29704e-05 t=25120
guo wang 	國王	c=0 d=0.00156076 t=25120
guo wang zhi shou 	國王之手	c=1 d=0.0156858 t=25120
guo zhen 	果真	c=1 d=8.78693e-09 t=25120
guo zhu 	國豬	c=1 d=1.06952e-26 t=25120
guo zu 	國足	c=1 d=0.00960953 t=25120
ha 	蛤	c=5 d=3.1723e-24 t=25120
ha ha 	哈哈	c=7 d=0.0833256 t=25120
ha ha 	蛤蛤	c=11 d=3.11678e-20 t=25120
ha ha ha 	哈哈哈	c=12 d=0.100042 t=25120
ha ha ha 	蛤蛤蛤	c=1 d=3.1882e-23 t=25120
ha ha ha ha 	哈哈哈哈	c=4 d=0.0140247 t=25120
ha ha ha ha 	蛤蛤蛤蛤	c=6 d=4.10865e-07 t=25120
ha ha ha ha ha 	哈哈哈哈哈	c=2 d=1.24728e-47 t=25120
ha ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈哈	c=1 d=1.14054e-47 t=25120
ha ha ha ha he 	哈哈哈哈和	c=1 d=0.0702988 t=25120
ha li 	哈利	c=0 d=3.04895e-28 t=25120
ha li sen 	哈利森	c=3 d=1.6534e-26 t=25120
ha te 	哈特	c=2 d=2.12056e-05 t=25120
ha wei 	哈維	c=1 d=1.80301e-23 t=25120
hai 	孩	c=1 d=4.66523e-31 t=25120
hai 	海	c=1 d=5.67086e-05 t=25120
hai 	還	c=73 d=0.108693 t=25120
hai bu 	還不	c=1 d=6.98389e-13 t=25120
hai bu shi 	還不是	c=1 d=0.311923 t=25120
hai deng 	還等	c=1 d=3.80906e-28 t=25120
hai duo 	還多	c=1 d=2.62336e-23 t=25120
hai gao 	還高	c=1 d=6.31929e-13 t=25120
hai guan 	海關	c=1 d=1.24219e-22 t=25120
hai hao 	還好	c=5 d=1.20798e-17 t=25120
hai hui 	還會	c=0 d=1.28796e-37 t=25120
hai hui zhang 	還會長	c=1 d=1.29442e-36 t=25120
hai jia er 	海加爾	c=1 d=2.09551e-27 t=25120
hai mei 	還沒	c=2 d=2.53427e-27 t=25120
hai neng 	還能	c=2 d=0.000443861 t=25120
hai neng ren 	還能忍	c=1 d=2.81023e-09 t=25120
hai shi 	還是	c=46 d=0.391354 t=25120
hai suan 	還算	c=1 d=2.65289e-37 t=25120
hai wai 	海外	c=2 d=4.13026e-46 t=25120
hai xiang 	還想	c=1 d=3.65286e-06 t=25120
hai yao 	還要	c=2 d=2.48756e-28 t=25120
hai yao shang ban 	還要上班	c=1 d=2.18103e-27 t=25120
hai you 	還有	c=18 d=0.247041 t=25120
hai you qian 	還有錢	c=1 d=7.04665e-30 t=25120
hai zai 	還在	c=9 d=0.0415975 t=25120
hai zhen shi 	還真是	c=2 d=0.0151463 t=25120
hai zi 	孩子	c=2 d=2.34283e-16 t=25120
han 	喊	c=1 d=1.70385e-34 t=25120
han 	憨	c=1 d=5.67937e-51 t=25120
han leng 	寒冷	c=1 d=0.25924 t=25120
han you 	罕有	c=1 d=0.0185924 t=25120
hang 	行	c=1 d=6.59399e-43 t=25120
hang huo 	行貨	c=1 d=2.16043e-33 t=25120
hang jia 	行價	c=1 d=6.63156e-51 t=25120
hang jia 	行家	c=1 d=1.1226e-37 t=25120
hang nei 	行內	c=1 d=9.53143e-54 t=25120
hang qing 	行情	c=1 d=4.95878e-43 t=25120
hang ye 	行業	c=2 d=0.120032 t=25120
hang zhou 	杭州	c=1 d=1.38757e-30 t=25120
hao 	壕	c=2 d=1.45759e-28 t=25120
hao 	好	c=129 d=0.544312 t=25120
hao 	號	c=53 d=0.000836708 t=25120
hao ba 	好吧	c=4 d=3.59174e-13 t=25120
hao ba ba 	好爸爸	c=1 d=0.190139 t=25120
hao bu 	好不	c=1 d=1.86368e-30 t=25120
hao cai 	好彩	c=1 d=0.00729913 t=25120
hao chang 	好長	c=1 d=8.21689e-14 t=25120
hao cheng 	號稱	c=1 d=8.81989e-53 t=25120
hao chu 	好處	c=1 d=9.06041e-46 t=25120
hao dan tong 	好蛋痛	c=1 d=3.42054e-27 t=25120
hao de 	好的	c=2 d=4.31308e-52 t=25120
hao di 	好睇	c=7 d=9.64096e-12 t=25120
hao dian 	耗電	c=1 d=0.000188766 t=25120
hao diao 	好叼	c=1 d=4.64276e-33 t=25120
hao ding zan 	好頂讚	c=1 d=9.4369e-25 t=25120
hao duo 	好多	c=11 d=0.00402629 t=25120
hao fan 	好煩	c=1 d=2.98594e-46 t=25120
hao gan 	好感	c=0 d=1.16679e-51 t=25120
hao gan du 	好感度	c=1 d=1.17264e-50 t=25120
hao gao 	好高	c=2 d=1.37189e-14 t=25120
hao guo 	好過	c=2 d=5.11266e-29 t=25120
hao hao 	好好	c=6 d=0.168638 t=25120
hao hao hao 	好好好	c=1 d=1.58236e-46 t=25120
hao hen 	好狠	c=1 d=2.84912e-53 t=25120
hao huan le 	好歡樂	c=1 d=2.74832e-41 t=25120
hao ji ge 	好幾個	c=1 d=2.60664e-36 t=25120
hao jia 	好假	c=1 d=5.73663e-22 t=25120
hao jian 	好賤	c=1 d=9.91029e-42 t=25120
hao jiu 	好久	c=6 d=1.33498e-38 t=25120
hao kan 	好看	c=1 d=2.52565e-47 t=25120
hao kuai 	好快	c=1 d=6.86566e-18 t=25120
hao le 	好了	c=5 d=8.70098e-11 t=25120
hao lei 	好累	c=0 d=3.09134e-14 t=25120
hao lei la 	好累啦	c=1 d=3.10684e-13 t=25120
hao leng 	好冷	c=1 d=3.04781e-52 t=25120
hao liu 	好溜	c=1 d=8.66938e-27 t=25120
hao ma 	好嗎	c=20 d=0.582748 t=25120
hao ma 	號碼	c=16 d=8.23395e-09 t=25120
hao mai 	好買	c=1 d=3.78028e-27 t=25120
hao meng 	好猛	c=2 d=7.44912e-07 t=25120
hao nan 	好難	c=2 d=7.96158e-25 t=25120
hao nan mai 	好難買	c=1 d=3.87664e-29 t=25120
hao ping 	好評	c=5 d=8.53763e-12 t=25120
hao qi 	好奇	c=1 d=0.162026 t=25120
hao qiong 	好窮	c=1 d=2.50699e-48 t=25120
hao qiu 	好球	c=1 d=1.7124e-34 t=25120
hao qu 	好去	c=1 d=8.09016e-37 t=25120
hao ren 	好人	c=3 d=1.38903e-13 t=25120
hao shen 	好深	c=1 d=6.62726e-14 t=25120
hao shi 	好事	c=1 d=0.0258615 t=25120
hao shou 	好受	c=1 d=1.00652e-47 t=25120
hao shuang 	好爽	c=1 d=9.22115e-47 t=25120
hao si 	好似	c=34 d=0.980778 t=25120
hao tang 	好燙	c=1 d=2.20903e-30 t=25120
hao wan 	好玩	c=4 d=0.00131452 t=25120
hao wu 	毫無	c=0 d=6.46892e-54 t=25120
hao wu liao 	好無聊	c=1 d=0.298197 t=25120
hao wu ya li 	毫無壓力	c=1 d=6.50135e-53 t=25120
hao xi gan 	好喜感	c=1 d=4.09652e-31 t=25120
hao xiang 	好像	c=14 d=0.0596059 t=25120
hao xiang 	好想	c=4 d=2.71532e-09 t=25120
hao xiang qu 	好想去	c=1 d=1.86209e-20 t=25120
hao yi si 	好意思	c=2 d=1.00758e-30 t=25120
hao yong 	好用	c=1 d=5.87666e-41 t=25120
hao you 	好友	c=1 d=1.41002e-13 t=25120
hao you a 	好友啊	c=1 d=4.12771e-32 t=25120
hao yun 	好運	c=1 d=6.79134e-37 t=25120
hao zan 	好讚	c=1 d=2.84282e-27 t=25120
hao zhu yi 	好主意	c=1 d=1.05396e-30 t=25120
he 	何	c=2 d=1.33366e-05 t=25120
he 	和	c=9 d=0.00699482 t=25120
he 	盒	c=2 d=6.36251e-18 t=25120
he 	賀	c=1 d=2.98959e-31 t=25120
he bi 	何必	c=2 d=2.07862e-20 t=25120
he bing 	合併	c=1 d=0.00798652 t=25120
he dan 	核彈	c=2 d=1.5099 t=25120
he dong 	河東	c=0 d=3.47933e-52 t=25120
he dong lu 	河東路	c=1 d=3.49677e-51 t=25120
he he 	呵呵	c=3 d=0.00702988 t=25120
he he ha ha ha ha 	呵呵哈哈哈哈	c=1 d=0.0706512 t=25120
he hui 	何輝	c=1 d=6.99959e-10 t=25120
he li 	合理	c=5 d=0.0713613 t=25120
he li chan 	何麗嬋	c=1 d=4.76936e-26 t=25120
he li hua 	合理化	c=1 d=3.6902e-08 t=25120
he nian 	何年	c=1 d=1.58483e-35 t=25120
he nian he yue 	何年何月	c=1 d=4.89343e-34 t=25120
he qing he li 	合情合理	c=1 d=2.26064e-37 t=25120
he xian 	核顯	c=4 d=6.92005e-08 t=25120
he xie 	河蟹	c=2 d=2.49933e-12 t=25120
he xin 	核心	c=1 d=1.30725e-05 t=25120
he yong 	何用	c=1 d=2.70317e-52 t=25120
he yue 	合約	c=1 d=7.87968e-21 t=25120
he zi 	盒子	c=1 d=3.28876e-06 t=25120
he zu 	合租	c=2 d=6.72398e-08 t=25120
hei 	黑	c=19 d=0.0176976 t=25120
hei an 	黑暗	c=3 d=1.48448e-13 t=25120
hei bai 	黑白	c=1 d=2.33512e-37 t=25120
hei bai hui 	黑白灰	c=1 d=2.34682e-36 t=25120
hei bei 	黑貝	c=1 d=6.22309e-09 t=25120
hei bian 	黑邊	c=1 d=9.6505e-53 t=25120
hei chan 	黑產	c=2 d=5.07666e-41 t=25120
hei ge ge 	黑哥哥	c=1 d=9.18795e-34 t=25120
hei guo 	黑果	c=2 d=1.0855e-24 t=25120
hei ke 	黑客	c=3 d=2.02087e-41 t=25120
hei ke yu hua jia 	黑客與畫家	c=1 d=7.16168e-44 t=25120
hei le 	黑了	c=1 d=0.882497 t=25120
hei li shi 	黑歷史	c=1 d=3.94608e-32 t=25120
hei mo fa 	黑魔法	c=1 d=3.00509e-33 t=25120
hei ping 	黑屏	c=1 d=1.32746e-09 t=25120
hei ping guo 	黑屏過	c=3 d=6.64328e-13 t=25120
hei ping guo 	黑蘋果	c=1 d=1.07858e-37 t=25120
hei ren 	黑人	c=1 d=1.73827e-34 t=25120
hei se 	黑色	c=7 d=8.37459e-24 t=25120
hei shi 	黑市	c=1 d=5.27921e-15 t=25120
hei tiao 	黑條	c=1 d=4.42324e-22 t=25120
hei zi 	黑仔	c=1 d=0.197899 t=25120
hen 	很	c=34 d=0.151072 t=25120
hen 	恨	c=1 d=0.00522135 t=25120
hen bu xi guan 	很不習慣	c=1 d=4.58952e-15 t=25120
hen cha 	很差	c=1 d=3.68118e-38 t=25120
hen da 	很大	c=2 d=0.273898 t=25120
hen di 	很低	c=1 d=1.04294e-24 t=25120
hen dong 	很懂	c=1 d=8.01537e-16 t=25120
hen duo 	很多	c=8 d=0.230346 t=25120
hen fan 	很煩	c=1 d=1.16081e-19 t=25120
hen gao 	很高	c=1 d=3.24808e-36 t=25120
hen hao 	很好	c=5 d=5.61921e-14 t=25120
hen hao qi 	很好奇	c=2 d=2.26811e-17 t=25120
hen kuai 	很快	c=1 d=3.47874e-49 t=25120
hen nan 	很難	c=2 d=5.21141e-10 t=25120
hen qing chu 	很清楚	c=1 d=2.63007e-53 t=25120
hen ran 	很燃	c=1 d=4.51889e-09 t=25120
hen sha 	很傻	c=1 d=6.61465e-21 t=25120
hen shao 	很少	c=3 d=0.00484407 t=25120
hen shen 	很深	c=1 d=9.21801e-43 t=25120
hen shuang 	很爽	c=1 d=2.00017e-38 t=25120
hen ta 	恨他	c=1 d=0.000206543 t=25120
hen you 	很有	c=1 d=2.52694e-53 t=25120
hen zheng chang 	很正常	c=1 d=2.71626e-50 t=25120
heng 	亨	c=1 d=1.29174e-41 t=25120
heng 	恆	c=1 d=9.11697e-31 t=25120
heng da 	恆大	c=3 d=1.20017e-30 t=25120
heng de sen 	亨德森	c=1 d=5.57675e-13 t=25120
heng sao 	橫掃	c=1 d=1.37853e-12 t=25120
hong 	宏	c=2 d=4.73498e-29 t=25120
hong 	洪	c=0 d=8.75176e-51 t=25120
hong 	紅	c=2 d=0.00893673 t=25120
hong bao 	紅包	c=1 d=1.31694e-33 t=25120
hong fu shi 	紅服飾	c=1 d=0.0898153 t=25120
hong guan 	宏觀	c=1 d=1.54733e-18 t=25120
hong jing 	紅警	c=2 d=3.73243e-43 t=25120
hong le 	紅了	c=1 d=1.02685e-47 t=25120
hong mi 	紅米	c=22 d=8.38261e-06 t=25120
hong mo 	紅魔	c=2 d=1.05489e-11 t=25120
hong qi 	宏碁	c=1 d=3.01605e-17 t=25120
hong ren 	紅人	c=1 d=1.36482e-12 t=25120
hong se 	紅色	c=2 d=1.08421e-10 t=25120
hong tou wen jian 	紅頭文件	c=1 d=3.28865e-35 t=25120
hong yong cheng 	洪永城	c=1 d=8.79563e-50 t=25120
hou 	吼	c=4 d=1.02431e-06 t=25120
hou 	後	c=16 d=0.748264 t=25120
hou chang 	後場	c=3 d=7.81904e-18 t=25120
hou duan 	後端	c=1 d=7.69953e-43 t=25120
hou fang 	後防	c=1 d=2.51399e-22 t=25120
hou hei xue 	厚黑學	c=2 d=8.44746e-36 t=25120
hou hui 	後悔	c=3 d=1.71981e-26 t=25120
hou lai 	後來	c=2 d=1.47439e-39 t=25120
hou lai ma 	後來嘛	c=1 d=1.48176e-38 t=25120
hou ma 	後媽	c=2 d=1.07174e-21 t=25120
hou man 	後慢	c=1 d=7.75947e-46 t=25120
hou mian 	後面	c=4 d=5.97806e-07 t=25120
hou qing 	後清	c=1 d=4.35206e-37 t=25120
hou ri 	後日	c=2 d=1.3083e-28 t=25120
hou tai 	後臺	c=3 d=6.87991e-13 t=25120
hou tian 	後天	c=1 d=5.41084e-40 t=25120
hou tiao 	後跳	c=1 d=2.5977e-25 t=25120
hou wei 	後衛	c=2 d=9.59584e-45 t=25120
hou zi 	猴子	c=1 d=7.16069e-13 t=25120
hu 	虎	c=0 d=4.23594e-25 t=25120
hu jia 	護駕	c=1 d=2.77169e-23 t=25120
hu ke 	胡克	c=0 d=7.67312e-33 t=25120
hu kou 	戶口	c=2 d=5.62896e-05 t=25120
hu lan 	湖藍	c=1 d=9.34618e-29 t=25120
hu li 	狐狸	c=1 d=3.50415e-17 t=25120
hu li 	護理	c=1 d=3.61948e-45 t=25120
hu li cheng 	狐狸城	c=1 d=6.78441e-25 t=25120
hu lian wang 	互聯網	c=3 d=0.00292342 t=25120
hu lve 	忽略	c=1 d=3.54551e-08 t=25120
hu shi 	忽視	c=1 d=3.64901e-23 t=25120
hu shi 	護士	c=1 d=9.70579e-32 t=25120
hu ying 	呼應	c=1 d=1.39937e-12 t=25120
hu you 	忽悠	c=3 d=7.60607e-17 t=25120
hu zi 	鬍子	c=0 d=1.66784e-19 t=25120
hua 	化	c=3 d=1.62657e-52 t=25120
hua 	滑	c=1 d=8.4467e-15 t=25120
hua 	畫	c=5 d=3.63396e-07 t=25120
hua 	花	c=2 d=4.78578e-37 t=25120
hua 	華	c=1 d=4.57612e-10 t=25120
hua 	話	c=54 d=0.119678 t=25120
hua ban 	滑板	c=1 d=9.01062e-40 t=25120
hua fei 	話費	c=2 d=2.69776e-28 t=25120
hua feng 	畫風	c=1 d=4.44844e-30 t=25120
hua fu 	畫幅	c=1 d=0.278037 t=25120
hua fu 	華附	c=1 d=0.00822975 t=25120
hua gong 	華工	c=1 d=0.0195457 t=25120
hua jia 	畫家	c=1 d=8.05554e-44 t=25120
hua lun 	華倫	c=1 d=3.95966e-43 t=25120
hua mian 	畫面	c=1 d=1.48181e-09 t=25120
hua nan 	華南	c=2 d=0.0208394 t=25120
hua nong 	華農	c=1 d=0.00456197 t=25120
hua ping 	花屏	c=3 d=9.93772e-35 t=25120
hua qian 	花錢	c=2 d=1.26728e-22 t=25120
hua qiang bei 	華強北	c=4 d=5.20613e-25 t=25120
hua ren 	華人	c=1 d=1.89971e-20 t=25120
hua ruan 	華軟	c=1 d=3.87058e-40 t=25120
hua shen 	化身	c=1 d=2.12169e-26 t=25120
hua shi 	華師	c=1 d=9.59747e-47 t=25120
hua shi ren 	話事人	c=1 d=4.63171e-05 t=25120
hua shuo 	華碩	c=1 d=4.32446e-21 t=25120
hua shuo 	話說	c=9 d=0.218712 t=25120
hua wei 	華爲	c=2 d=1.62583e-12 t=25120
hua zhong qu chong 	譁衆取寵	c=1 d=1.34381e-06 t=25120
huai 	壞	c=4 d=1.61355e-11 t=25120
huai chu 	壞處	c=1 d=6.8256e-08 t=25120
huai dao 	壞道	c=1 d=5.15062e-19 t=25120
huai dian 	壞點	c=1 d=8.64112e-18 t=25120
huai jiu 	懷舊	c=1 d=4.88511e-14 t=25120
huai nian 	懷念	c=1 d=8.2421e-50 t=25120
huai ren 	壞人	c=1 d=2.73135e-27 t=25120
huai shang 	懷上	c=1 d=1.97482e-35 t=25120
huai shi 	壞事	c=1 d=0.0261214 t=25120
huai yi 	懷疑	c=1 d=1.46627e-32 t=25120
huai yun 	懷孕	c=2 d=2.02309e-25 t=25120
huan 	換	c=17 d=0.00196639 t=25120
huan 	還	c=4 d=8.50812e-12 t=25120
huan cun 	緩存	c=3 d=6.512e-13 t=25120
huan hua 	幻化	c=3 d=2.68703e-11 t=25120
huan jing 	環境	c=1 d=3.18386e-07 t=25120
huan jing cha 	環境差	c=1 d=9.00449e-32 t=25120
huan le 	歡樂	c=1 d=4.39743e-13 t=25120
huan le song 	歡樂頌	c=1 d=4.41948e-12 t=25120
huan qiu shi bao 	環球時報	c=1 d=3.50952e-35 t=25120
huan ren 	換人	c=1 d=3.65461e-41 t=25120
huan shuai 	換帥	c=1 d=1.97146e-15 t=25120
huan xiang 	幻想	c=1 d=2.60221e-16 t=25120
huan xing 	喚醒	c=1 d=7.75287e-36 t=25120
huan ying 	歡迎	c=8 d=0.555145 t=25120
huan ying ni 	歡迎你	c=1 d=5.00861e-43 t=25120
huan zhe 	患者	c=1 d=2.64469e-30 t=25120
huang 	慌	c=1 d=0.0026189 t=25120
huang 	晃	c=1 d=8.11939e-50 t=25120
huang 	黃	c=3 d=1.73113e-16 t=25120
huang cui ru 	黃翠如	c=2 d=1.70331e-49 t=25120
huang he 	黃河	c=1 d=4.35502e-45 t=25120
huang jin 	黃金	c=1 d=0.0658748 t=25120
huang li 	黃曆	c=1 d=4.94093e-30 t=25120
huang niu 	黃牛	c=4 d=6.70983e-42 t=25120
huang pian 	黃片	c=1 d=8.00285e-27 t=25120
huang qi shan 	黃岐山	c=1 d=1.73981e-15 t=25120
huang tang 	荒唐	c=2 d=0.427548 t=25120
huang ye 	荒野	c=1 d=3.10843e-19 t=25120
huang yi 	黃易	c=4 d=1.15253e-33 t=25120
huang zi 	黃子	c=0 d=1.96972e-35 t=25120
huang zi hua 	黃子華	c=1 d=1.9796e-34 t=25120
hui 	回	c=10 d=2.22171e-09 t=25120
hui 	悔	c=1 d=1.1396e-08 t=25120
hui 	會	c=57 d=0.142274 t=25120
hui 	灰	c=3 d=3.79793e-23 t=25120
hui bao lv 	回報率	c=1 d=3.57421e-44 t=25120
hui chuan 	回傳	c=2 d=1.65355e-05 t=25120
hui da 	回答	c=4 d=0.0363355 t=25120
hui dao 	回到	c=1 d=0.00382958 t=25120
hui diao 	會掉	c=1 d=1.18301e-36 t=25120
hui fu 	回覆	c=5 d=4.23315e-05 t=25120
hui fu 	恢復	c=3 d=5.45035e-08 t=25120
hui jia 	回家	c=2 d=0.271173 t=25120
hui jian 	會見	c=1 d=1.03418e-13 t=25120
hui jin 	灰燼	c=0 d=2.30953e-25 t=25120
hui jin shi zhe 	灰燼使者	c=1 d=2.3211e-24 t=25120
hui kou 	回扣	c=1 d=0.00188279 t=25120
hui lai 	回來	c=22 d=0.514688 t=25120
hui le 	回了	c=1 d=1.53611e-50 t=25120
hui mie 	毀滅	c=1 d=0.0220377 t=25120
hui qu 	回去	c=12 d=0.00280879 t=25120
hui se 	灰色	c=1 d=1.86267e-53 t=25120
hui shi 	回事	c=3 d=1.84388e-22 t=25120
hui shi 	會是	c=1 d=6.10298e-15 t=25120
hui tan 	會談	c=1 d=1.05235e-12 t=25120
hui wan 	會玩	c=0 d=3.31708e-49 t=25120
hui yuan 	會員	c=9 d=2.56849e-14 t=25120
hui zhang 	徽章	c=1 d=3.15755e-27 t=25120
hui zhi 	回執	c=1 d=1.60523e-09 t=25120
hun 	混	c=2 d=3.52711e-35 t=25120
hun fang 	婚房	c=1 d=9.02933e-35 t=25120
hun hou 	婚後	c=1 d=8.45218e-52 t=25120
hun xiao 	混淆	c=1 d=4.63881e-23 t=25120
hun yao 	渾殽	c=3 d=8.6894e-22 t=25120
hun yin 	婚姻	c=1 d=1.8067e-47 t=25120
huo 	或	c=2 d=9.5429e-05 t=25120
huo 	活	c=3 d=6.89303e-06 t=25120
huo 	火	c=2 d=5.39612e-08 t=25120
huo 	貨	c=2 d=6.28008e-28 t=25120
huo 	霍	c=1 d=5.89206e-13 t=25120
huo bi 	貨幣	c=2 d=0.235062 t=25120
huo che zhan 	火車站	c=1 d=7.32277e-41 t=25120
huo dao fu kuan 	貨到付款	c=1 d=2.95221e-30 t=25120
huo de 	活得	c=2 d=6.22763e-17 t=25120
huo de 	獲得	c=2 d=3.44365e-18 t=25120
huo dong 	活動	c=2 d=9.08563e-30 t=25120
huo guo lai 	活過來	c=1 d=6.2726e-14 t=25120
huo hai 	禍害	c=1 d=6.41022e-34 t=25120
huo ji 	火雞	c=1 d=5.78129e-25 t=25120
huo jiu jian 	活久見	c=1 d=3.54792e-16 t=25120
huo le 	活了	c=1 d=3.82282e-41 t=25120
huo le 	火了	c=1 d=6.07667e-23 t=25120
huo xing 	火星	c=1 d=7.80526e-27 t=25120
huo xing ren 	火星人	c=1 d=1.1586e-26 t=25120
huo yan 	火焰	c=1 d=1.14493e-05 t=25120
huo yan jie 	火焰節	c=1 d=0.000115067 t=25120
huo zhe 	或者	c=17 d=6.16437e-11 t=25120
ji 	即	c=7 d=5.39724e-10 t=25120
ji 	基	c=1 d=9.83206e-37 t=25120
ji 	季	c=4 d=6.18994e-06 t=25120
ji 	寄	c=2 d=1.46435e-23 t=25120
ji 	幾	c=18 d=0.0498437 t=25120
ji 	急	c=2 d=1.28866e-13 t=25120
ji 	既	c=1 d=3.47707e-14 t=25120
ji 	機	c=5 d=2.61405e-10 t=25120
ji 	級	c=11 d=2.04871 t=25120
ji 	計	c=2 d=0.000288735 t=25120
ji 	集	c=1 d=0.000212232 t=25120
ji an 	吉安	c=0 d=0.00271874 t=25120
ji an na 	吉安娜	c=1 d=0.0273237 t=25120
ji bai 	幾百	c=1 d=0.0171187 t=25120
ji bai 	擊敗	c=1 d=1.54281e-13 t=25120
ji bai ci 	幾百次	c=1 d=2.31275e-11 t=25120
ji bai dian 	幾百點	c=1 d=0.172045 t=25120
ji ben 	基本	c=4 d=0.000491462 t=25120
ji ben fa 	基本法	c=2 d=2.00445e-26 t=25120
ji ben shang 	基本上	c=3 d=0.19889 t=25120
ji bian 	幾遍	c=1 d=2.03566e-39 t=25120
ji bu 	幾部	c=1 d=1.70856e-37 t=25120
ji ceng 	幾層	c=1 d=0.0569831 t=25120
ji chang 	幾場	c=1 d=6.19396e-42 t=25120
ji chang 	機場	c=3 d=0.00651498 t=25120
ji cheng 	繼承	c=1 d=2.23472e-19 t=25120
ji ci 	幾次	c=1 d=3.88403e-22 t=25120
ji cuo 	記錯	c=1 d=0.000578542 t=25120
ji dan 	雞蛋	c=1 d=2.30599e-06 t=25120
ji de 	記得	c=21 d=1.44969 t=25120
ji dian 	幾點	c=5 d=3.5449e-06 t=25120
ji ding he 	機頂盒	c=3 d=3.44045e-28 t=25120
ji du 	嫉妒	c=0 d=0.000516939 t=25120
ji du 	季度	c=1 d=9.21174e-35 t=25120
ji duo 	幾多	c=6 d=0.501576 t=25120
ji duo ren 	幾多人	c=1 d=1.42003e-08 t=25120
ji e 	飢餓	c=3 d=2.52618e-36 t=25120
ji er 	基爾	c=0 d=1.07065e-10 t=25120
ji fang 	己方	c=1 d=1.85502e-34 t=25120
ji fang 	機房	c=2 d=5.23271e-52 t=25120
ji fei 	計費	c=1 d=8.21522e-41 t=25120
ji fen 	積分	c=1 d=1.73438e-37 t=25120
ji fen bang 	積分榜	c=1 d=3.87994e-39 t=25120
ji fu 	幾幅	c=0 d=1.23982e-30 t=25120
ji fu tu 	幾幅圖	c=1 d=1.24604e-29 t=25120
ji ge 	幾個	c=21 d=0.00302504 t=25120
ji ge yue 	幾個月	c=3 d=6.50841e-07 t=25120
ji ge zhan 	幾個站	c=1 d=9.80501e-34 t=25120
ji guo 	記過	c=1 d=1.23473e-10 t=25120
ji hao 	幾好	c=2 d=2.58079e-07 t=25120
ji hao 	極好	c=1 d=6.4303e-12 t=25120
ji he 	集合	c=1 d=3.79277e-07 t=25120
ji hu 	幾乎	c=10 d=0.00844348 t=25120
ji hua 	計劃	c=1 d=2.53098e-13 t=25120
ji hua sheng yu 	計劃生育	c=1 d=1.73951e-13 t=25120
ji hui 	機會	c=4 d=6.81416e-33 t=25120
ji huo 	激活	c=1 d=4.59187e-21 t=25120
ji huo 	集火	c=1 d=2.07537e-31 t=25120
ji ji 	濟濟	c=0 d=2.11765e-34 t=25120
ji jian 	幾件	c=1 d=0.0198411 t=25120
ji jiang 	即將	c=1 d=4.21038e-30 t=25120
ji jin 	基金	c=3 d=8.26113e-44 t=25120
ji kou 	幾口	c=1 d=7.5227e-05 t=25120
ji lie 	吉列	c=1 d=7.94804e-05 t=25120
ji ling 	機靈	c=1 d=1.38474e-06 t=25120
ji lu 	吉魯	c=1 d=1.77037e-14 t=25120
ji lu 	紀錄	c=1 d=2.01712e-49 t=25120
ji lu 	記錄	c=3 d=0.66365 t=25120
ji lu pian 	紀錄片	c=3 d=1.92639e-37 t=25120
ji lv 	機率	c=2 d=0.0620385 t=25120
